# Persons 16+ resident all of 2024 by sammanräknad förvärvsinkomst class (tkr, SCB HE0110 SamForvInk1, HE0110J9 Antal personer, both sexes), by Riksdag valkrets and age band, aggregated from scb_SamForvInk1_2024_municipality_age_incomeclass.json through valkrets_municipalities_2024.csv. 'total' is the band's published TOT class; 'unpublished' = total - published_sum is exactly the mass SCB suppressed ('..', cells under 3 persons) in 'suppressed_cells' cells. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,age_band,tkr_0,tkr_1-19,tkr_20-39,tkr_40-59,tkr_60-79,tkr_80-99,tkr_100-119,tkr_120-139,tkr_140-159,tkr_160-179,tkr_180-199,tkr_200-219,tkr_220-239,tkr_240-259,tkr_260-279,tkr_280-299,tkr_300-319,tkr_320-339,tkr_340-359,tkr_360-379,tkr_380-399,tkr_400-499,tkr_500-599,tkr_600-799,tkr_800-999,tkr_1000+,published_sum,total,unpublished,suppressed_cells
11,70-74,110,68,101,175,241,321,280,826,692,669,887,1038,944,904,790,640,514,486,391,345,273,969,642,695,223,259,13483,13490,7,0
11,75-79,159,53,96,170,201,130,152,545,501,649,863,1155,1301,1048,861,603,410,346,256,214,183,638,365,335,163,143,11540,11549,9,0
11,80-84,154,42,75,121,43,29,66,300,293,401,676,984,1062,849,694,459,323,235,206,137,115,372,198,165,52,70,8121,8126,5,0
11,85+,125,19,45,10,15,27,33,175,497,426,591,949,1120,833,673,479,360,199,155,108,80,256,124,88,36,26,7449,7447,-2,0
12,16-19,5604,4880,1721,920,699,444,343,250,211,168,113,80,47,29,27,17,7,5,7,0,0,7,0,0,0,0,15579,15632,53,92
12,20-24,1857,905,716,797,763,678,623,591,1015,589,586,572,540,580,529,553,584,600,599,495,424,1222,346,114,8,0,16286,16278,-8,16
12,25-29,1338,501,356,413,337,284,306,362,730,391,393,490,462,486,578,594,647,752,750,793,794,3168,1274,571,75,24,16869,16867,-2,7
12,30-34,1279,403,319,391,260,251,262,314,663,376,447,475,525,583,655,710,801,878,962,1010,1019,4536,2511,1634,300,139,21703,21655,-48,2
12,35-39,1121,373,267,284,197,194,208,265,521,333,375,415,471,524,568,586,734,853,931,993,948,4541,2888,2322,596,362,21870,21859,-11,0
12,40-44,990,271,211,175,143,143,175,238,498,237,354,340,344,374,479,468,616,723,776,832,833,3976,2736,2710,759,584,19985,19940,-45,1
12,45-49,935,162,128,152,104,90,155,187,521,232,299,273,301,398,435,496,576,661,697,795,839,4055,2855,3015,1006,933,20300,20301,1,2
12,50-54,936,160,146,158,92,108,134,174,493,247,335,339,333,385,430,450,581,627,710,833,890,4157,3063,3220,1097,1049,21147,21175,28,3
12,55-59,1005,141,138,155,126,128,160,216,579,359,420,396,398,443,508,472,622,686,760,893,893,4285,2878,2913,959,963,21496,21464,-32,2
12,60-64,841,167,134,145,148,147,144,225,619,449,484,464,464,528,540,574,620,712,702,771,810,3623,2339,2238,646,653,19187,19184,-3,0
12,65-69,155,96,74,91,98,115,151,423,451,542,593,668,716,766,846,779,769,663,653,645,599,2443,1691,1624,489,406,16546,16899,353,33
12,70-74,95,26,55,68,128,199,148,589,662,827,1067,1375,1385,1174,986,861,730,657,534,434,366,1232,798,784,249,269,15698,15726,28,16
12,75-79,97,16,55,67,83,77,85,471,732,1010,1435,1655,1745,1503,1037,801,676,447,395,281,232,818,522,467,168,171,15046,15084,38,25
12,80-84,99,18,40,74,29,23,62,335,401,692,996,1289,1501,1231,893,721,510,326,229,209,178,466,263,208,66,69,10928,10947,19,37
12,85+,49,6,36,8,3,9,26,219,589,601,887,1136,1234,910,691,595,383,267,152,113,106,289,130,88,30,19,8576,8594,18,52
13,16-19,7116,6913,2506,1216,862,560,483,382,266,192,119,78,31,36,10,5,0,4,0,0,0,0,0,0,0,0,20779,20852,73,137
13,20-24,3585,2340,2357,2745,2275,1719,1340,1137,1355,845,844,822,727,703,678,695,635,625,575,469,387,1123,313,101,9,3,28407,28409,2,19
13,25-29,1993,788,519,679,690,537,451,484,835,432,442,419,463,475,514,528,677,647,707,782,850,3543,1435,613,113,63,19679,19656,-23,7
13,30-34,1481,414,302,352,248,262,254,280,552,327,450,410,453,520,641,678,828,909,938,1030,1166,5141,3027,2073,445,288,23469,23492,23,0
13,35-39,1246,348,248,238,199,191,192,229,524,286,349,365,394,454,519,596,796,826,956,951,1138,5551,3923,3607,1057,768,25951,25956,5,0
13,40-44,1060,253,171,171,130,147,155,167,468,228,328,286,319,365,429,462,635,706,754,880,924,5112,3991,4725,1651,1515,26032,25999,-33,2
13,45-49,904,203,156,103,109,124,106,170,420,222,252,250,293,336,372,438,535,610,767,830,919,4726,3970,5250,2246,2269,26580,26564,-16,1
13,50-54,906,161,133,103,108,93,115,155,385,200,300,276,285,347,385,452,523,651,761,847,877,4815,4082,5119,2177,2497,26753,26784,31,1
13,55-59,850,199,124,107,109,92,136,160,503,267,330,346,370,431,420,488,621,732,839,892,975,4881,3785,4478,1808,2044,25987,26014,27,4
13,60-64,771,173,119,130,128,115,160,219,510,389,408,427,450,517,596,554,657,690,762,907,868,4188,3058,3154,1181,1260,22391,22402,11,1
13,65-69,135,60,41,50,69,75,106,248,429,542,555,639,724,791,840,909,830,858,798,775,665,2990,2132,2275,721,822,19079,19491,412,53
13,70-74,79,22,27,59,73,88,131,483,625,854,1192,1420,1503,1448,1311,1009,872,786,619,554,521,1788,1150,1322,467,476,18879,18882,3,25
13,75-79,70,21,30,42,41,62,102,519,786,1167,1645,1967,2212,1829,1466,1131,822,683,543,450,361,1215,807,831,335,308,19445,19464,19,36
13,80-84,78,16,30,31,32,44,39,379,511,812,1181,1595,1821,1514,1185,867,640,465,416,327,250,899,454,411,172,147,14316,14409,93,44
13,85+,68,4,6,5,7,0,39,269,608,704,1032,1376,1444,1206,1001,807,489,377,279,223,182,502,229,189,55,41,11142,11231,89,75
14,16-19,4786,4713,1936,1130,731,472,377,284,220,191,147,87,50,33,24,18,0,5,0,0,4,0,0,0,0,0,15208,15287,79,162
14,20-24,1636,732,537,630,638,548,563,520,1027,518,546,509,533,538,579,577,635,618,548,510,410,1238,356,110,9,0,15065,15055,-10,27
14,25-29,946,407,317,345,298,239,271,327,815,321,377,400,458,459,488,573,657,718,785,744,756,2789,1143,447,48,16,15144,15119,-25,17
14,30-34,966,322,279,307,236,240,254,299,692,329,448,419,493,531,657,707,875,907,953,1024,1017,4306,2085,1064,158,70,19638,19649,11,10
14,35-39,920,309,229,255,203,130,197,207,600,297,392,424,398,488,543,624,722,839,948,1035,1068,4355,2431,1713,334,215,19876,19916,40,0
14,40-44,912,208,164,162,123,140,122,183,446,251,332,294,346,397,440,462,598,669,846,815,893,4021,2420,1960,444,327,17975,17964,-11,7
14,45-49,753,194,134,121,123,103,109,173,499,268,324,262,323,371,386,430,615,642,781,813,898,4079,2615,2405,624,466,18511,18491,-20,7
14,50-54,840,167,135,115,109,99,110,173,507,281,351,281,332,367,446,486,573,727,774,961,919,4455,3002,2688,743,612,20253,20272,19,10
14,55-59,895,158,127,107,118,120,137,215,546,408,431,381,413,478,544,597,708,740,915,999,1048,4693,3008,2603,711,643,21743,21777,34,8
14,60-64,808,172,146,141,150,136,160,243,594,514,534,490,484,576,624,626,716,819,851,913,952,4022,2392,2054,520,462,20099,20161,62,6
14,65-69,156,88,24,43,72,94,142,390,497,601,708,682,797,911,906,886,879,907,769,751,682,2991,1815,1814,372,362,18339,18993,654,74
14,70-74,111,28,42,57,77,86,131,648,773,1096,1419,1629,1600,1468,1179,1005,874,716,593,506,422,1462,894,882,245,274,18217,18262,45,28
14,75-79,115,34,18,31,51,55,89,643,897,1329,1857,2116,2157,1848,1466,1032,729,526,410,322,297,926,528,490,169,158,18293,18353,60,53
14,80-84,87,7,19,21,19,12,44,450,615,876,1229,1673,1710,1511,1116,859,511,386,270,226,153,548,251,207,74,61,12935,12996,61,78
14,85+,51,4,8,4,4,9,34,298,867,890,1168,1513,1616,1223,956,719,436,275,170,162,123,325,106,102,26,16,11105,11160,55,102
15,16-19,4392,4688,2575,1543,1038,686,493,391,310,222,167,105,54,34,33,23,13,3,9,7,0,3,0,0,0,0,16789,16823,34,56
15,20-24,1296,745,635,811,889,703,703,623,1159,620,685,723,728,664,721,754,711,771,681,605,529,1307,383,122,6,4,17578,17560,-18,9
15,25-29,936,347,282,330,311,310,291,310,742,354,365,413,434,444,475,551,711,736,795,828,861,3182,1233,484,50,16,15791,15814,23,4
15,30-34,823,299,243,267,223,205,250,263,594,312,360,416,451,544,654,734,837,928,1095,1068,1177,5090,2577,1617,258,94,21379,21390,11,3
15,35-39,733,216,153,176,173,151,143,180,495,250,313,321,361,434,509,558,774,875,913,1048,1077,4991,3253,2568,635,354,21654,21636,-18,0
15,40-44,593,173,141,134,99,85,127,153,343,229,247,243,285,287,368,428,555,649,795,829,892,4536,3071,3099,920,718,19999,20008,9,1
15,45-49,577,127,88,85,83,75,102,127,321,196,253,216,248,306,339,391,514,611,724,781,899,4331,3330,3500,1058,1014,20296,20345,49,2
15,50-54,617,121,86,90,83,87,81,147,323,242,288,255,276,318,401,435,509,613,801,864,930,4809,3621,3747,1247,1218,22209,22186,-23,1
15,55-59,669,121,94,91,96,101,112,164,377,313,326,318,362,440,493,513,611,708,782,913,1052,4889,3434,3588,1132,1076,22775,22780,5,1
15,60-64,620,133,135,115,143,149,135,185,450,383,399,435,438,520,569,581,682,740,785,911,965,4316,2813,2493,781,730,20606,20564,-42,1
15,65-69,103,69,35,66,92,86,114,288,397,507,598,702,769,827,924,871,879,887,874,818,771,3109,2174,2161,544,540,19205,19334,129,14
15,70-74,69,16,38,50,61,110,108,451,625,913,1220,1369,1495,1329,1188,1018,982,830,654,538,471,1707,1041,1059,320,294,17956,17974,18,8
15,75-79,93,4,35,26,48,38,67,461,788,1318,1777,2075,1924,1792,1385,1088,801,623,450,385,289,1125,644,621,199,178,18234,18252,18,17
15,80-84,43,10,14,32,17,17,42,399,507,906,1218,1519,1619,1421,1108,788,586,418,309,261,213,672,321,266,91,93,12890,12925,35,17
15,85+,52,5,9,3,0,11,35,267,797,832,1172,1444,1477,1192,942,704,463,327,201,156,117,378,147,137,39,13,10920,10966,46,37
16,16-19,6956,10017,2829,1573,1094,681,544,430,327,227,162,126,96,50,39,29,23,12,15,16,12,18,5,9,0,0,25290,25288,-2,2
16,20-24,4535,2790,2538,3041,3009,2418,1993,1744,2226,1548,1395,1358,1239,1164,1084,1059,1041,1064,931,900,796,2627,1220,523,28,19,42290,42291,1,0
16,25-29,3483,1574,1290,1364,1401,1245,1135,1189,1837,1174,1219,1167,1139,1210,1220,1313,1469,1589,1791,1925,2155,10372,5467,2730,259,108,50825,50825,0,0
16,30-34,3084,1034,765,923,709,689,680,743,1086,845,986,915,1004,1158,1205,1369,1557,1695,1879,2068,2289,11817,8489,7066,1258,549,55862,55867,5,0
16,35-39,2804,797,586,602,478,425,444,489,843,610,784,699,816,928,996,1133,1328,1516,1628,1669,1885,9118,6804,7338,2060,1105,47885,47892,7,0
16,40-44,2326,556,359,380,297,295,306,389,721,496,634,583,625,703,799,792,1024,1237,1273,1342,1436,7309,5662,6674,2393,1694,40305,40309,4,0
16,45-49,2021,393,260,230,243,186,214,284,628,516,492,468,510,577,607,600,873,1071,1108,1205,1198,6305,5089,6281,2475,2369,36203,36186,-17,0
16,50-54,1931,266,201,191,173,159,196,274,619,592,551,473,489,552,572,613,778,971,1039,1123,1157,6129,5018,6204,2559,2595,35425,35412,-13,0
16,55-59,1851,274,187,193,170,190,193,284,677,747,625,532,503,589,637,608,736,836,1020,1119,1220,6088,4726,5763,2219,2302,34289,34290,1,0
16,60-64,1688,243,207,233,181,221,232,318,774,892,702,675,633,678,719,678,761,844,1010,1073,1142,5405,3972,4395,1554,1669,30899,30908,9,0
16,65-69,313,196,177,226,226,305,355,814,864,889,791,832,888,920,985,986,1001,977,959,887,882,3772,3060,3314,1001,1161,26781,26781,0,0
16,70-74,150,78,126,175,218,325,317,1011,951,970,1229,1470,1561,1535,1376,1201,1013,868,776,731,613,2154,1394,1601,569,641,23053,23055,2,0
16,75-79,175,70,122,135,228,178,154,736,759,1023,1464,1955,2137,2079,1690,1239,939,770,584,461,418,1452,848,942,340,364,21262,21268,6,0
16,80-84,158,54,96,156,94,60,67,409,380,606,921,1354,1695,1497,1266,938,690,554,419,324,296,826,412,444,182,196,14094,14104,10,0
16,85+,130,27,37,36,19,27,36,223,710,617,907,1305,1601,1347,1105,923,599,429,295,250,193,515,238,263,75,67,11974,11965,-9,0
17,16-19,6066,6413,2652,1458,940,586,488,412,326,246,165,109,66,60,25,19,17,4,4,0,4,8,5,0,0,0,20073,20152,79,119
17,20-24,1623,788,647,795,780,718,674,684,1158,618,623,618,608,656,677,698,731,686,665,596,536,1647,636,208,0,3,18073,18088,15,21
17,25-29,994,360,325,304,333,284,270,288,789,343,345,407,359,419,446,503,629,681,792,801,825,3906,1933,861,67,17,17281,17280,-1,10
17,30-34,973,297,230,290,233,210,235,251,604,335,397,416,466,547,603,709,827,1003,1007,1102,1242,6048,4049,3016,536,189,25815,25784,-31,0
17,35-39,808,240,202,224,172,171,176,190,455,287,318,322,421,417,499,610,741,883,928,1066,1137,6184,4738,4706,1223,634,27752,27727,-25,2
17,40-44,688,198,148,117,120,88,123,119,325,256,284,206,234,336,400,432,582,665,767,915,980,5345,4522,5099,1755,1138,25842,25874,32,4
17,45-49,586,126,94,89,80,87,86,115,279,259,245,200,227,259,305,333,458,558,667,773,934,4883,4524,5518,2177,1722,25584,25639,55,11
17,50-54,593,109,80,86,71,59,80,100,244,304,318,235,233,281,360,397,457,570,674,817,904,5037,4583,5613,2140,1875,26220,26264,44,11
17,55-59,650,120,87,102,77,77,85,127,320,373,314,341,276,338,459,405,497,654,785,834,881,5130,4315,4898,1803,1545,25493,25499,6,4
17,60-64,602,137,123,108,111,122,133,147,395,413,397,409,378,434,563,486,545,640,710,847,865,4503,3393,3495,1187,1038,22181,22229,48,1
17,65-69,109,40,17,33,16,56,78,247,302,452,493,627,630,794,775,856,863,855,780,707,782,3121,2275,2495,690,614,18707,19206,499,56
17,70-74,56,16,16,22,50,59,87,383,507,737,940,1202,1293,1302,1181,1061,871,762,648,524,488,1787,1130,1216,343,317,16998,17045,47,31
17,75-79,48,3,16,25,41,29,65,422,622,1014,1374,1844,2001,1705,1389,1147,856,662,559,455,356,1203,685,650,227,173,17571,17639,68,37
17,80-84,38,12,22,31,6,4,19,329,404,638,948,1399,1557,1382,1145,960,661,501,393,290,212,787,332,302,82,55,12509,12589,80,54
17,85+,38,0,10,0,3,4,15,245,570,653,971,1208,1463,1142,1014,878,550,358,255,201,144,409,158,119,41,14,10463,10552,89,80
18,16-19,3543,3196,1949,1042,711,424,363,296,242,181,134,79,35,29,27,10,4,7,0,0,0,0,0,0,0,0,12272,12330,58,182
18,20-24,1153,514,418,503,523,495,502,428,878,436,422,467,458,454,477,533,539,574,484,421,409,1172,402,121,8,0,12791,12764,-27,29
18,25-29,812,310,258,270,268,232,233,313,772,278,328,309,359,391,422,481,580,659,646,691,670,2552,1103,409,33,16,13395,13375,-20,27
18,30-34,785,294,244,282,192,204,201,232,498,296,370,348,411,495,486,569,720,759,846,916,880,3752,1928,1142,156,69,17075,17136,61,23
18,35-39,673,222,182,210,151,135,151,180,448,239,310,306,317,401,387,467,584,703,727,709,820,3876,2147,1639,335,185,16504,16535,31,15
18,40-44,620,164,133,98,82,87,101,116,332,204,238,231,243,305,315,362,450,569,552,670,675,3279,2142,1781,411,309,14469,14537,68,19
18,45-49,544,151,98,83,63,67,107,124,272,249,257,217,195,269,290,312,388,498,597,651,687,3383,2345,2102,564,396,14909,14908,-1,32
18,50-54,602,127,55,73,61,47,89,144,272,325,286,250,256,302,308,360,456,543,620,731,750,3639,2656,2449,686,567,16654,16659,5,30
18,55-59,639,126,90,86,79,65,115,148,293,402,366,304,302,357,385,463,515,616,658,828,912,4067,2663,2560,717,570,18326,18297,-29,21
18,60-64,580,134,100,107,103,105,125,157,360,486,397,379,398,468,515,474,565,641,718,781,828,3544,2422,2025,514,457,17383,17418,35,11
18,65-69,120,51,33,36,29,34,48,167,337,434,465,629,648,739,764,768,729,821,640,670,619,2616,1756,1589,396,313,15451,16545,1094,108
18,70-74,91,11,22,29,37,74,82,429,501,832,1101,1456,1466,1339,1235,995,776,680,588,482,439,1446,811,819,204,173,16118,16190,72,60
18,75-79,101,3,13,30,38,32,29,362,611,959,1427,1856,1932,1687,1382,913,657,510,426,341,222,845,437,390,146,91,15440,15495,55,72
18,80-84,66,8,16,29,11,5,13,305,443,610,1041,1340,1497,1277,1033,735,503,364,259,206,147,455,218,159,49,22,10811,10921,110,94
18,85+,42,0,7,3,3,3,12,231,653,695,1090,1294,1401,1075,774,639,358,213,181,120,94,252,103,68,8,10,9329,9389,60,130
19,16-19,2884,3767,1378,813,588,359,286,237,192,169,108,73,37,31,6,9,4,0,10,0,0,7,0,0,0,0,10958,11007,49,97
19,20-24,1036,477,398,497,534,489,480,445,671,395,440,444,401,422,495,499,551,525,523,448,387,1013,270,76,13,4,11933,11947,14,16
19,25-29,710,262,237,251,244,214,220,235,560,279,293,319,344,373,352,467,480,589,647,643,667,2308,902,307,34,7,11944,11950,6,15
19,30-34,664,230,207,238,199,169,166,197,459,249,355,288,332,431,441,494,618,695,893,855,877,3480,1748,1012,144,64,15505,15509,4,9
19,35-39,606,183,127,179,113,106,96,174,325,239,237,259,263,322,384,447,540,653,706,820,819,3504,1981,1404,277,146,14910,14928,18,7
19,40-44,472,150,115,98,82,79,79,100,250,198,214,166,204,209,297,360,415,543,654,688,694,3257,1960,1776,445,274,13779,13783,4,9
19,45-49,413,115,68,65,48,53,56,87,200,176,178,154,166,213,240,309,373,454,509,605,628,3110,2141,1922,520,337,13140,13180,40,19
19,50-54,414,96,48,66,64,58,63,90,231,204,237,218,212,230,297,313,426,485,601,689,706,3220,2243,1963,512,485,14171,14168,-3,13
19,55-59,474,89,71,77,62,55,78,105,237,318,233,255,258,317,348,305,473,571,652,762,808,3441,2227,1924,480,397,15017,15050,33,12
19,60-64,423,89,50,88,59,76,88,114,300,307,305,325,314,344,425,418,468,583,609,689,772,2957,1750,1367,334,256,13510,13491,-19,12
19,65-69,105,42,32,35,34,39,26,135,252,319,387,471,479,592,554,589,619,597,556,528,493,2038,1285,1114,217,132,11670,12280,610,61
19,70-74,75,7,28,34,45,63,86,330,389,598,820,1101,1040,1013,833,741,606,500,410,355,289,1008,515,479,128,131,11624,11653,29,30
19,75-79,80,13,17,27,36,20,38,346,496,778,1162,1418,1556,1264,853,673,462,331,262,175,147,529,298,217,71,49,11318,11364,46,42
19,80-84,48,13,11,25,15,13,19,216,293,507,735,1148,1225,1006,748,470,310,204,152,136,68,295,123,95,29,22,7926,7979,53,56
19,85+,32,7,9,0,0,6,16,150,442,517,836,1137,1129,850,572,416,239,133,99,60,55,139,28,28,13,8,6921,6924,3,75
20,16-19,2839,3611,1883,1112,713,437,299,305,238,190,147,74,64,33,23,9,5,4,0,0,0,4,0,0,0,0,11990,12036,46,196
20,20-24,1117,458,409,506,539,441,388,409,863,445,445,437,420,427,471,528,609,609,633,615,514,1794,651,129,0,0,13857,13882,25,44
20,25-29,704,255,211,245,239,219,249,250,733,285,313,288,349,378,388,451,533,627,698,749,770,3092,1346,449,29,9,13859,13865,6,38
20,30-34,655,212,171,299,181,197,156,213,534,259,304,340,349,436,563,607,707,798,879,1060,1030,4282,2125,1160,152,53,17722,17746,24,23
20,35-39,536,168,115,168,120,129,123,163,438,227,288,280,278,371,389,483,635,727,813,910,953,4203,2346,1525,249,157,16794,16818,24,24
20,40-44,490,147,68,101,101,76,97,124,323,190,258,204,207,298,304,332,446,503,606,756,745,3719,2340,1790,326,213,14764,14790,26,29
20,45-49,409,95,54,55,62,56,50,91,290,249,243,215,227,239,270,307,405,475,610,659,720,3436,2320,1956,440,342,14275,14362,87,46
20,50-54,447,76,66,44,69,49,71,97,261,327,272,223,246,293,284,365,430,546,577,779,819,4067,2624,2282,487,403,16204,16242,38,41
20,55-59,466,93,63,65,68,62,87,118,334,391,345,332,272,354,371,438,542,638,666,890,966,4415,2815,2385,576,412,18164,18211,47,24
20,60-64,465,98,70,92,83,110,85,136,397,488,361,422,394,463,518,507,594,635,728,764,882,3797,2277,1691,416,325,16798,16826,28,19
20,65-69,78,7,14,7,34,3,24,265,286,449,530,624,671,733,771,793,858,816,760,753,660,2655,1591,1306,254,195,15137,15954,817,117
20,70-74,84,10,15,19,40,53,87,447,503,810,1106,1345,1386,1381,1176,960,848,692,549,409,372,1171,623,638,160,130,15014,15039,25,61
20,75-79,93,3,0,20,20,21,35,433,681,1111,1571,1772,1922,1693,1286,918,634,447,343,243,221,716,328,315,80,50,14956,15061,105,90
20,80-84,57,6,12,8,4,3,13,329,480,752,1125,1360,1504,1293,1029,698,436,274,204,141,135,325,139,124,39,18,10508,10610,102,120
20,85+,48,0,9,0,0,0,8,252,754,785,1073,1317,1386,1053,714,529,326,185,143,88,68,209,55,40,14,7,9063,9110,47,146
21,16-19,3027,4506,1595,902,612,414,295,225,186,163,109,75,46,26,27,14,8,0,0,0,0,0,0,0,0,0,12230,12321,91,219
21,20-24,1355,744,620,840,898,730,646,553,932,503,557,535,503,496,508,571,574,595,504,428,356,1131,401,126,9,11,15126,15151,25,34
21,25-29,799,375,301,332,316,330,299,331,741,310,366,358,381,501,476,549,624,654,709,815,804,2856,1143,452,54,31,14907,14949,42,32
21,30-34,843,294,184,331,226,202,193,202,556,276,369,355,393,456,549,598,747,875,824,966,1025,4099,2106,1164,173,93,18099,18160,61,26
21,35-39,720,229,177,141,145,117,147,179,432,240,278,285,330,379,440,514,653,694,794,909,880,4029,2389,1620,368,187,17276,17287,11,31
21,40-44,631,187,93,131,95,85,108,121,347,237,234,211,241,266,311,407,509,537,658,732,755,3507,2308,1902,478,293,15384,15461,77,43
21,45-49,545,110,71,93,70,58,76,99,272,281,225,178,198,241,253,339,438,515,631,631,716,3389,2424,2150,577,440,15020,15092,72,55
21,50-54,625,108,80,81,68,78,66,100,245,353,301,234,233,280,316,370,511,519,667,758,851,4096,2796,2478,693,586,17493,17548,55,38
21,55-59,666,117,122,83,84,56,88,115,318,388,360,325,301,351,408,444,620,642,729,894,953,4367,2773,2371,632,552,18759,18821,62,27
21,60-64,648,130,93,99,79,72,128,143,407,465,389,375,420,437,516,497,558,662,778,861,905,3825,2342,1870,457,413,17569,17574,5,24
21,65-69,182,29,29,0,39,58,33,166,262,454,524,684,639,793,846,861,902,831,774,717,751,2804,1799,1512,378,237,16304,17229,925,123
21,70-74,129,16,16,32,34,32,47,397,489,792,1157,1419,1490,1494,1275,1082,862,722,593,531,411,1416,817,706,171,161,16291,16292,1,77
21,75-79,139,5,5,18,16,15,38,396,578,1015,1530,1983,2104,1858,1422,968,723,532,415,332,262,839,446,371,102,77,16189,16233,44,102
21,80-84,57,11,12,10,3,7,23,280,347,722,1032,1493,1664,1370,1033,759,506,370,256,212,152,464,182,165,35,28,11193,11224,31,128
21,85+,38,0,6,0,0,3,17,185,575,682,1075,1491,1573,1161,865,665,414,267,157,159,83,276,100,94,10,0,9896,10031,135,157
22,16-19,3891,5440,1505,864,697,413,334,265,228,200,157,90,68,45,18,11,10,0,5,3,4,7,0,0,0,0,14255,14358,103,157
22,20-24,1660,791,863,1137,1209,986,779,738,1094,604,691,668,589,626,617,647,656,645,654,566,533,1506,482,143,3,0,18887,18907,20,32
22,25-29,1019,441,346,469,467,440,385,359,832,458,437,437,480,512,598,617,705,819,857,914,925,3471,1421,561,52,17,18039,18086,47,28
22,30-34,851,333,273,321,274,244,227,278,657,327,417,397,450,531,566,688,831,858,1039,1149,1155,4745,2308,1395,210,88,20612,20619,7,18
22,35-39,791,260,222,215,194,145,174,207,544,275,315,328,380,442,484,631,689,791,902,984,968,4490,2674,1959,378,160,19602,19609,7,23
22,40-44,679,179,131,140,81,103,102,165,426,290,289,273,282,310,351,449,564,684,731,760,867,4004,2570,2388,577,325,17720,17779,59,30
22,45-49,688,140,117,88,89,62,97,115,354,284,295,224,258,305,346,374,482,565,674,730,790,3743,2698,2612,692,501,17323,17382,59,32
22,50-54,667,107,72,94,76,81,89,135,319,387,312,247,259,343,324,348,516,621,719,774,938,4272,3015,2923,795,591,19024,19061,37,32
22,55-59,634,109,76,91,71,78,111,139,415,461,323,333,337,366,388,416,565,655,761,872,952,4372,2861,2598,708,572,19264,19309,45,18
22,60-64,600,118,85,103,87,91,122,145,416,524,424,389,399,439,465,496,584,656,757,820,841,3867,2260,1983,487,367,17525,17595,70,24
22,65-69,91,56,64,45,50,70,82,277,322,462,549,523,615,719,748,790,816,802,770,672,680,2466,1651,1441,291,214,15266,16092,826,99
22,70-74,92,22,34,69,62,98,86,486,539,786,1087,1356,1367,1468,1188,961,808,650,524,509,400,1300,715,674,226,169,15676,15730,54,53
22,75-79,95,11,23,56,63,46,34,416,562,1031,1525,1935,2206,1846,1345,1015,701,502,386,325,188,733,413,341,100,69,15967,16028,61,76
22,80-84,75,13,27,28,21,17,14,299,363,612,1033,1493,1758,1570,1170,814,473,353,249,186,143,403,195,157,49,20,11535,11600,65,99
22,85+,48,0,17,9,4,3,4,153,459,512,854,1253,1382,1147,863,616,405,215,141,99,81,199,98,51,12,3,8628,8722,94,124
23,16-19,4902,4000,1291,738,591,365,274,254,194,136,89,48,44,19,16,15,8,5,0,0,3,4,0,0,0,0,12996,13050,54,131
23,20-24,1601,626,524,582,636,548,512,528,880,490,466,486,481,542,504,569,570,565,519,472,417,1192,337,94,3,4,14148,14112,-36,23
23,25-29,950,394,272,324,297,250,246,313,659,323,318,370,419,480,462,507,656,723,747,718,725,3077,1322,487,50,12,15101,15124,23,24
23,30-34,971,322,261,354,247,249,239,304,604,302,387,378,408,490,593,605,777,828,879,966,983,4193,2451,1548,260,105,19704,19724,20,11
23,35-39,815,232,227,208,149,154,134,203,477,270,336,339,327,383,426,516,640,725,797,844,873,4034,2596,2123,477,273,18578,18593,15,17
23,40-44,733,210,151,168,102,94,115,143,315,261,233,233,299,320,341,379,486,589,628,712,674,3415,2331,2304,606,406,16248,16260,12,18
23,45-49,633,127,88,102,81,68,79,145,290,264,193,208,220,301,280,314,428,546,578,604,698,3292,2310,2549,768,578,15744,15761,17,23
23,50-54,639,138,127,64,64,48,69,132,267,293,255,244,236,262,313,349,470,572,641,721,723,3518,2605,2752,860,697,17059,17118,59,23
23,55-59,684,130,80,91,77,73,78,133,324,354,288,292,286,353,396,374,494,617,762,852,850,4042,2638,2648,853,677,18446,18477,31,17
23,60-64,626,101,85,103,78,99,92,140,414,504,350,391,362,431,476,449,528,668,670,726,786,3438,2123,2020,593,480,16733,16749,16,17
23,65-69,85,55,64,68,56,50,71,272,314,417,474,554,613,672,706,628,721,661,634,621,546,2277,1446,1442,382,301,14130,14695,565,83
23,70-74,82,14,42,52,57,88,102,420,506,725,977,1182,1225,1127,1009,828,760,596,518,377,339,1135,678,658,202,196,13895,13944,49,37
23,75-79,111,20,37,26,31,38,46,404,530,884,1266,1735,1851,1710,1159,916,656,452,362,289,233,757,413,415,136,103,14580,14588,8,53
23,80-84,78,7,16,23,9,12,20,233,314,547,834,1277,1546,1295,1080,752,468,307,254,185,168,430,226,200,53,40,10374,10427,53,79
23,85+,65,4,10,6,0,6,8,165,461,501,725,1177,1370,1073,929,733,447,254,173,127,95,255,109,83,13,11,8800,8874,74,99
24,16-19,3407,4206,1873,966,643,417,321,304,267,219,142,100,49,32,31,20,6,0,0,0,0,4,0,0,0,0,13007,13118,111,191
24,20-24,1044,461,413,429,500,392,444,387,771,427,450,474,518,495,605,589,657,600,552,476,410,1282,423,140,10,0,12949,12967,18,35
