# Persons 16+ resident all of 2024 by sammanräknad förvärvsinkomst class (tkr, SCB HE0110 SamForvInk1, HE0110J9 Antal personer, both sexes), by Riksdag valkrets and age band, aggregated from scb_SamForvInk1_2024_municipality_age_incomeclass.json through valkrets_municipalities_2024.csv. 'total' is the band's published TOT class; 'unpublished' = total - published_sum is exactly the mass SCB suppressed ('..', cells under 3 persons) in 'suppressed_cells' cells. Built 2026-09-02 by Tools/build_valkrets_marginals.sh; see VALKRETS_POPULATION_README.md.
valkrets_no,age_band,tkr_0,tkr_1-19,tkr_20-39,tkr_40-59,tkr_60-79,tkr_80-99,tkr_100-119,tkr_120-139,tkr_140-159,tkr_160-179,tkr_180-199,tkr_200-219,tkr_220-239,tkr_240-259,tkr_260-279,tkr_280-299,tkr_300-319,tkr_320-339,tkr_340-359,tkr_360-379,tkr_380-399,tkr_400-499,tkr_500-599,tkr_600-799,tkr_800-999,tkr_1000+,published_sum,total,unpublished,suppressed_cells
3,20-24,3326,2585,2397,2740,2344,1846,1407,1225,1493,977,968,851,796,757,828,799,814,765,679,592,555,1584,484,147,6,3,30968,30985,17,14
3,25-29,2134,1135,840,949,898,734,700,616,1067,576,603,630,612,640,681,716,874,944,1004,1169,1237,4979,2320,932,97,30,27117,27137,20,8
3,30-34,1694,597,427,477,378,344,383,434,753,456,506,561,583,661,783,875,988,1084,1217,1320,1405,6943,3994,2613,499,163,30138,30133,-5,3
3,35-39,1398,436,302,310,260,202,229,258,560,364,442,407,483,553,659,718,893,947,1024,1197,1171,6007,4382,3634,787,429,28052,28060,8,3
3,40-44,1038,261,203,199,143,141,162,198,443,321,365,282,352,364,403,528,661,708,898,906,922,4856,3937,3997,1196,796,24280,24314,34,3
3,45-49,824,177,127,124,110,104,121,136,374,316,293,257,262,336,394,428,546,693,695,764,798,4357,3765,4372,1532,1222,23127,23131,4,8
3,50-54,802,177,107,115,114,113,98,112,355,348,289,292,278,350,400,445,562,676,736,850,842,4498,3833,4519,1550,1343,23804,23786,-18,6
3,55-59,866,169,105,113,98,124,110,167,394,431,356,317,340,402,421,471,585,714,832,883,883,4494,3510,4116,1387,1235,23523,23540,17,5
3,60-64,698,184,110,131,119,111,173,183,431,519,431,421,429,473,522,537,650,700,808,939,877,4112,2844,2901,1022,902,21227,21219,-8,3
3,65-69,148,84,68,79,65,66,138,384,404,506,531,667,725,859,804,881,781,822,816,780,715,3105,2092,2216,716,640,19092,19361,269,44
3,70-74,88,23,49,48,71,98,119,512,628,829,1143,1306,1415,1342,1235,1015,904,799,669,584,492,1657,1050,1097,398,444,18015,18011,-4,27
3,75-79,89,14,37,36,63,62,81,473,602,1029,1440,1871,2019,1873,1525,1158,829,655,535,417,365,1216,711,675,257,222,18254,18238,-16,34
3,80-84,69,7,24,37,28,21,35,362,371,616,932,1295,1544,1448,1091,874,571,480,318,296,215,700,379,356,120,84,12273,12337,64,50
3,85+,54,7,17,5,0,10,14,192,546,647,882,1201,1347,1061,853,683,508,340,233,146,136,427,185,171,44,19,9728,9746,18,65
4,16-19,4228,5233,1690,943,739,438,338,248,220,185,104,82,61,28,12,9,10,0,0,6,0,0,0,0,0,0,14574,14643,69,111
4,20-24,1651,687,508,572,570,561,499,510,969,538,531,527,505,571,548,529,628,560,544,464,419,1285,373,78,0,0,14627,14648,21,21
4,25-29,1039,382,335,336,290,239,268,308,738,334,392,351,376,424,462,560,623,645,698,681,662,2624,1216,440,49,14,14486,14554,68,11
4,30-34,978,344,271,321,212,236,197,253,623,332,379,377,421,499,553,628,697,849,929,955,914,4100,2150,1319,174,56,18767,18766,-1,5
4,35-39,857,328,237,261,168,177,168,204,567,290,328,316,355,405,474,561,669,804,858,851,898,4052,2603,1911,397,223,18962,18973,11,5
4,40-44,786,254,196,196,117,116,143,168,384,250,305,243,292,350,365,449,599,610,711,767,816,3643,2568,2337,564,385,17614,17586,-28,3
4,45-49,766,185,154,140,143,79,107,139,367,270,289,231,257,294,296,360,508,574,660,684,732,3558,2621,2510,704,483,17111,17082,-29,6
4,50-54,751,173,113,114,83,94,123,146,345,298,277,269,292,352,331,392,538,599,690,818,794,3963,2885,2841,812,601,18694,18692,-2,8
4,55-59,796,179,135,124,86,100,105,160,410,376,361,355,336,363,387,445,558,639,757,833,943,4144,2947,2750,768,626,19683,19724,41,8
4,60-64,749,159,125,126,117,112,156,184,507,500,451,457,423,472,478,498,668,700,743,835,853,3565,2347,1956,505,401,18087,18109,22,4
4,65-69,131,97,64,88,59,91,79,325,405,470,582,565,784,823,881,799,811,836,769,707,664,2587,1708,1517,427,318,16587,17015,428,48
4,70-74,86,27,44,107,69,52,88,498,581,753,1075,1396,1501,1353,1188,1052,850,668,592,478,429,1378,770,702,216,205,16158,16206,48,24
4,75-79,159,18,43,31,34,30,49,433,525,972,1454,2027,2174,1841,1419,1129,782,548,420,375,276,837,487,457,142,110,16772,16812,40,36
4,80-84,107,12,22,39,9,12,20,258,348,592,928,1469,1732,1537,1105,804,600,364,267,197,165,519,271,202,54,30,11663,11711,48,47
4,85+,66,7,15,0,0,0,15,165,458,518,894,1272,1469,1183,811,673,394,312,195,144,86,282,113,73,11,11,9167,9224,57,73
5,16-19,7575,6000,2852,1623,1206,726,548,430,326,269,181,113,80,55,29,19,23,14,3,4,0,10,0,0,0,0,22086,22192,106,168
5,20-24,3279,1750,1961,2266,1952,1379,1158,1071,1589,999,985,978,913,928,899,869,978,975,902,835,709,2167,520,114,12,3,30191,30249,58,38
5,25-29,1823,860,623,787,694,626,539,548,1168,587,709,671,694,783,836,899,977,1130,1205,1342,1418,6129,2354,739,75,22,28238,28282,44,34
5,30-34,1516,483,394,429,374,311,337,378,860,494,578,625,697,772,926,1072,1251,1489,1543,1646,1685,7603,4338,2404,340,182,32727,32765,38,26
5,35-39,1211,401,316,274,227,204,213,267,735,405,537,492,528,677,715,859,1068,1170,1285,1526,1480,6846,4507,3545,715,357,30560,30558,-2,29
5,40-44,1047,263,220,203,138,141,152,199,532,398,410,391,419,524,583,665,816,935,1047,1164,1206,5758,3972,4164,993,699,27039,27086,47,39
5,45-49,1016,204,161,142,105,120,129,162,491,400,378,341,365,465,517,573,719,855,987,1116,1154,5660,4146,4575,1334,1059,27174,27194,20,44
5,50-54,1093,186,88,122,105,120,118,182,483,499,415,409,474,465,575,600,793,876,1062,1226,1322,6224,4206,4824,1491,1191,29149,29212,63,33
5,55-59,1093,192,122,134,101,106,109,188,525,576,505,512,467,553,661,672,801,1055,1128,1263,1368,6446,4129,4416,1426,1072,29620,29631,11,35
5,60-64,1048,192,152,182,136,133,186,235,605,717,578,629,629,664,745,765,860,967,1058,1247,1267,5426,3374,3199,903,812,26709,26751,42,19
5,65-69,190,115,93,117,116,130,150,520,518,750,713,845,980,1055,1174,1197,1107,1080,1069,1071,886,3855,2475,2388,591,504,23689,24547,858,113
5,70-74,120,28,56,63,102,150,167,785,775,1150,1669,2115,2133,1886,1681,1285,1105,932,763,700,518,1864,1148,1145,355,321,23016,23078,62,62
5,75-79,204,26,72,93,104,67,84,641,916,1529,2094,2802,2870,2462,1840,1293,899,717,612,456,329,1188,685,659,199,168,23009,23063,54,68
5,80-84,135,29,55,59,25,12,32,443,606,956,1550,2141,2338,2016,1478,1049,669,428,339,276,243,716,346,287,92,40,16360,16441,81,90
5,85+,104,6,29,7,4,10,29,309,886,967,1506,1937,2150,1516,1202,880,557,359,281,206,129,451,154,119,42,14,13854,13927,73,117
6,16-19,4601,5218,2518,1512,998,644,496,491,392,253,256,121,100,55,35,6,14,15,10,0,0,6,0,0,0,0,17741,17808,67,149
6,20-24,1553,824,803,1036,1027,792,720,676,1128,742,699,740,692,735,729,760,919,932,836,782,687,1829,440,107,5,0,20193,20189,-4,29
6,25-29,1131,410,378,473,446,389,349,382,879,466,522,524,553,587,597,701,817,994,1057,1197,1242,4492,1635,509,31,14,20775,20754,-21,27
6,30-34,978,316,295,344,213,272,267,303,640,358,475,470,529,673,729,851,1044,1212,1320,1425,1602,6098,2743,1543,242,84,25026,25030,4,15
6,35-39,819,272,195,221,181,143,177,217,559,290,346,375,417,557,560,682,863,1033,1203,1356,1397,6059,3053,2122,483,235,23815,23830,15,17
6,40-44,689,179,126,155,95,99,114,132,435,270,287,262,317,391,463,501,638,807,974,1070,1219,5310,3058,2535,683,411,21220,21263,43,28
6,45-49,727,142,88,92,98,61,121,142,337,300,280,275,275,328,377,487,599,705,891,1039,1124,5229,3224,2872,738,612,21163,21176,13,25
6,50-54,668,121,68,70,60,62,79,123,366,336,317,324,312,370,358,442,625,763,955,1089,1210,5672,3393,3170,836,720,22509,22544,35,28
6,55-59,694,109,80,84,70,81,96,135,425,421,318,349,348,465,462,538,681,835,998,1262,1382,6005,3369,2881,808,631,23527,23569,42,28
6,60-64,641,111,93,114,111,108,124,174,470,511,442,459,423,516,601,625,725,888,953,1079,1186,4865,2676,2145,553,430,21023,20985,-38,17
6,65-69,159,55,39,61,76,55,87,373,358,464,514,620,761,804,956,981,896,927,899,870,823,3279,2074,1735,329,213,18408,19243,835,93
