# price_index_weights_2023.csv - GENERATED by Tools/energy_index_prep.pl (EN-5). Electricity's weight in the consumer price index, per mille of the all-items basket, 2023.
# DE FR IT PL SE: Eurostat prc_hicp_inw, COICOP CP0451 Electricity, 2023 (HICP item weights; the 2023 weights rest on 2022's expenditure, the spike year - Sweden's 70.50 is two and a half times Germany's, and part of that is the year).
# US: BLS relative importance December 2023, CPI-U, Electricity 2.428 % (per mille below); reached through web.archive.org, bls.gov refusing this client.
country;electricity_per_mille;source
DE;29.63;Eurostat prc_hicp_inw CP0451 2023
FR;28.21;Eurostat prc_hicp_inw CP0451 2023
IT;33.15;Eurostat prc_hicp_inw CP0451 2023
PL;23.87;Eurostat prc_hicp_inw CP0451 2023
SE;70.50;Eurostat prc_hicp_inw CP0451 2023
US;24.28;BLS CPI-U relative importance Dec 2023
