"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307129_20180309","http://dati.camera.it/ocd/deputato.rdf/d307129_18","CATTOI","MAURIZIO","20180309","20221012","maggioritario","MARCHE - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307129_20180309","http://dati.camera.it/ocd/deputato.rdf/d307129_18","CATTOI","MAURIZIO","20180309","20221012","maggioritario","MARCHE - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307716_20180309","http://dati.camera.it/ocd/deputato.rdf/d307716_18","CATTOI","VANESSA","20180309","20221012","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307716_20180309","http://dati.camera.it/ocd/deputato.rdf/d307716_18","CATTOI","VANESSA","20180309","20221012","maggioritario","TRENTINO-ALTO ADIGE/SÜDTIROL - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_305787_20180309","http://dati.camera.it/ocd/deputato.rdf/d305787_18","CECCONI","ANDREA","20180309","20221012","maggioritario","MARCHE - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_302943_20180309","http://dati.camera.it/ocd/deputato.rdf/d302943_18","CENNI","SUSANNA","20180309","20221012","maggioritario","TOSCANA - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307117_20180309","http://dati.camera.it/ocd/deputato.rdf/d307117_18","CHIAZZESE","GIUSEPPE","20180309","20221012","maggioritario","SICILIA 1 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307117_20180309","http://dati.camera.it/ocd/deputato.rdf/d307117_18","CHIAZZESE","GIUSEPPE","20180309","20221012","maggioritario","SICILIA 1 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306060_20180309","http://dati.camera.it/ocd/deputato.rdf/d306060_18","COLLETTI","ANDREA","20180309","20221012","maggioritario","ABRUZZO - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_301541_20180309","http://dati.camera.it/ocd/deputato.rdf/d301541_18","COSTA","ENRICO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_301541_20180309","http://dati.camera.it/ocd/deputato.rdf/d301541_18","COSTA","ENRICO","20180309","20221012","maggioritario","PIEMONTE 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307460_20180309","http://dati.camera.it/ocd/deputato.rdf/d307460_18","CRISTINA","MIRELLA","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307460_20180309","http://dati.camera.it/ocd/deputato.rdf/d307460_18","CRISTINA","MIRELLA","20180309","20221012","maggioritario","PIEMONTE 2 - 02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307141_20180309","http://dati.camera.it/ocd/deputato.rdf/d307141_18","D'ETTORE","FELICE MAURIZIO","20180309","20221012","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_307141_20180309","http://dati.camera.it/ocd/deputato.rdf/d307141_18","D'ETTORE","FELICE MAURIZIO","20180309","20221012","maggioritario","TOSCANA - 04",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306085_20180309","http://dati.camera.it/ocd/deputato.rdf/d306085_18","D'UVA","FRANCESCO","20180309","20221012","maggioritario","SICILIA 2 - 01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc18_306062_20180309","http://dati.camera.it/ocd/deputato.rdf/d306062_18","DEL GROSSO","DANIELE","20180309","20221012","maggioritario","ABRUZZO - 01",,
