"d","surname","firstName","start","end","gruppo","label","componente"
"http://dati.camera.it/ocd/deputato.rdf/d307171_18","ACQUAROLI","FRANCESCO","20180327","20201022","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3052","FRATELLI D'ITALIA (27.03.2018-22.10.2020)",
"http://dati.camera.it/ocd/deputato.rdf/d307538_18","ACUNZO","NICOLA","20180327","20200520","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-20.05.2020)",
"http://dati.camera.it/ocd/deputato.rdf/d307538_18","ACUNZO","NICOLA","20200520","20220510","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (20.05.2020-10.05.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307538_18","ACUNZO","NICOLA","20220510","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (10.05.2022-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307559_18","ADELIZZI","COSIMO","20180327","20220621","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-21.06.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307559_18","ADELIZZI","COSIMO","20220621","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3892","INSIEME PER IL FUTURO (21.06.2022-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307394_18","AIELLO","DAVIDE","20180327","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307119_18","AIELLO","PIERA","20180327","20200902","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-02.09.2020)",
"http://dati.camera.it/ocd/deputato.rdf/d307119_18","AIELLO","PIERA","20200902","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (02.09.2020-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307114_18","ALAIMO","ROBERTA","20180327","20220621","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-21.06.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307114_18","ALAIMO","ROBERTA","20220621","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3892","INSIEME PER IL FUTURO (21.06.2022-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308421_18","ALBANO","LUCIA","20201022","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3052","FRATELLI D'ITALIA (22.10.2020-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307364_18","ALEMANNO","MARIA SOAVE","20180327","20220721","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-21.07.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307364_18","ALEMANNO","MARIA SOAVE","20220721","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3251","ITALIA VIVA (21.07.2022-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307206_18","AMITRANO","ALESSANDRO","20180327","20220621","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-21.06.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307206_18","AMITRANO","ALESSANDRO","20220621","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3892","INSIEME PER IL FUTURO (21.06.2022-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307686_18","ANDREUZZA","GIORGIA","20180327","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3055","LEGA - SALVINI PREMIER (27.03.2018-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d302942_18","ANGELUCCI","ANTONIO","20180327","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307294_18","ANGIOLA","NUNZIO","20180327","20200103","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-03.01.2020)",
"http://dati.camera.it/ocd/deputato.rdf/d307294_18","ANGIOLA","NUNZIO","20200103","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (03.01.2020-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307597_18","ANNIBALI","LUCIA","20180327","20190919","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3054","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)",
"http://dati.camera.it/ocd/deputato.rdf/d307597_18","ANNIBALI","LUCIA","20190919","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3251","ITALIA VIVA (19.09.2019-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d305946_18","ANZALDI","MICHELE","20180327","20190919","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3054","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)",
"http://dati.camera.it/ocd/deputato.rdf/d305946_18","ANZALDI","MICHELE","20190919","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3251","ITALIA VIVA (19.09.2019-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d35050_18","APREA","VALENTINA","20180327","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3053","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-12.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307365_18","APRILE","NADIA","20180327","20200121","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3051","MOVIMENTO 5 STELLE (27.03.2018-21.01.2020)",
"http://dati.camera.it/ocd/deputato.rdf/d307365_18","APRILE","NADIA","20200121","20221012","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr3033","MISTO (21.01.2020-12.10.2022)",
