"d","surname","firstName","start","end","gruppo","label","componente"
"http://dati.camera.it/ocd/deputato.rdf/d308785_19","CAVO","ILARIA","20221018","20221027","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (18.10.2022-27.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308785_19","CAVO","ILARIA","20221027",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4152","NOI MODERATI (27.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307680_19","CECCHETTI","FABRIZIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307632_19","CENTEMERO","GIULIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d309321_19","CENTENARO","GIULIO","20260326",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (26.03.2026)",
"http://dati.camera.it/ocd/deputato.rdf/d308874_19","CERRETO","MARCO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d301439_19","CESA","LORENZO","20221018","20221027","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (18.10.2022-27.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d301439_19","CESA","LORENZO","20221027","20240418","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4152","NOI MODERATI (27.10.2022-18.04.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d301439_19","CESA","LORENZO","20240418",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (18.04.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d308858_19","CHERCHI","SUSANNA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308915_19","CHIESA","PAOLA MARIA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307511_19","CIABURRO","MONICA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308764_19","CIANCITTO","FRANCESCO MARIA SALVATORE","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308835_19","CIANI","PAOLO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d35980_19","CIOCCHETTI","LUCIANO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d300319_19","CIRIELLI","EDMONDO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307688_19","COIN","DIMITRI","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308926_19","COLOMBO","BEATRIZ","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308917_19","COLOSIMO","CHIARA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307603_19","COLUCCI","ALESSANDRO","20221018","20221027","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (18.10.2022-27.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307603_19","COLUCCI","ALESSANDRO","20221027",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4152","NOI MODERATI (27.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308841_19","COLUCCI","ALFONSO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d302764_19","COMAROLI","SILVANA ANDREINA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308826_19","COMBA","FABRIZIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308833_19","CONGEDO","SAVERIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307926_19","CONTE","GIUSEPPE","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308796_19","COPPO","MARCELLO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307580_19","CORTELAZZO","PIERGIORGIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","20221018","20240916","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4135","AZIONE - ITALIA VIVA - RENEW EUROPE (18.10.2022-16.09.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d301541_19","COSTA","ENRICO","20240916",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (16.09.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d307922_19","COSTA","SERGIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307639_19","CRIPPA","ANDREA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d302422_19","CUPERLO","GIOVANNI","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308804_19","CURTI","AUGUSTO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308875_19","D'ALESSIO","ANTONIO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4135","AZIONE - ITALIA VIVA - RENEW EUROPE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307782_19","D'ALFONSO","LUCIANO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307312_19","D'ATTIS","MAURO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307388_19","D'ORSO","VALENTINA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308829_19","DALLA CHIESA","RITA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307683_19","DARA","ANDREA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307918_19","DE BERTOLDI","ANDREA","20221018","20240812","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022-12.08.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d307918_19","DE BERTOLDI","ANDREA","20240812","20250205","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (12.08.2024-05.02.2025)",
"http://dati.camera.it/ocd/deputato.rdf/d307918_19","DE BERTOLDI","ANDREA","20250205",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4132","LEGA - SALVINI PREMIER (05.02.2025)",
"http://dati.camera.it/ocd/deputato.rdf/d200291_19","DE CORATO","RICCARDO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307561_19","DE LUCA","PIERO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d305698_19","DE MARIA","ANDREA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d302856_19","DE MICHELI","PAOLA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d306379_19","DE MONTE","ISABELLA","20221018","20231120","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4135","AZIONE - ITALIA VIVA - RENEW EUROPE (18.10.2022-20.11.2023)",
"http://dati.camera.it/ocd/deputato.rdf/d306379_19","DE MONTE","ISABELLA","20231120","20240930","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4211","ITALIA VIVA-IL CENTRO-RENEW EUROPE (20.11.2023-30.09.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d306379_19","DE MONTE","ISABELLA","20240930",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (30.09.2024)",
"http://dati.camera.it/ocd/deputato.rdf/d308806_19","DE PALMA","VITO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4134","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307219_19","DEIDDA","SALVATORE","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d306382_19","DEL BARBA","MAURO","20221018","20231120","http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4135","AZIONE - ITALIA VIVA - RENEW EUROPE (18.10.2022-20.11.2023)",
"http://dati.camera.it/ocd/deputato.rdf/d306382_19","DEL BARBA","MAURO","20231120",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4211","ITALIA VIVA-IL CENTRO-RENEW EUROPE (20.11.2023)",
"http://dati.camera.it/ocd/deputato.rdf/d307790_19","DELL'OLIO","GIANMAURO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4131","MOVIMENTO 5 STELLE (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d301577_19","DELLA VEDOVA","BENEDETTO","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4111","MISTO (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d307479_19","DELMASTRO DELLE VEDOVE","ANDREA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308843_19","DI BIASE","MICHELA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4136","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (18.10.2022)",
"http://dati.camera.it/ocd/deputato.rdf/d308784_19","DI GIUSEPPE","ANDREA","20221018",,"http://dati.camera.it/ocd/gruppoParlamentare.rdf/gr4133","FRATELLI D'ITALIA (18.10.2022)",
