"s","lastName","firstName","leg","inizio","fine","carica","gruppo","gruppoLabel"
"http://dati.senato.it/senatore/36432","Campione","Susanna Donatella",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36392","Camusso","Susanna Lina Giulia",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32862","Cantalamessa","Gianluca",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/32598","Cantu'","Maria Cristina",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/520","Casini","Pier Ferdinando",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36388","Castelli","Guido",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32600","Castellone","Maria Domenica",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32601","Castiello","Francesco",19,2022-10-18,2024-12-31,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/33065","Cataldi","Roberto",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/30511","Cattaneo","Elena",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/29067","Centinaio","Gian Marco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/32603","Ciriani","Luca",19,2022-10-18,2022-11-08,"Presidente","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/32603","Ciriani","Luca",19,2022-11-09,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/22910","Cosenza","Giulia",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36389","Cottarelli","Carlo",19,2022-10-18,2023-05-31,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/22914","Craxi","Stefania Gabriella Anastasia",19,2022-10-18,2026-03-25,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/22914","Craxi","Stefania Gabriella Anastasia",19,2026-03-26,,"Presidente","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36387","Crisanti","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32608","Croatti","Marco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36390","Cucchi","Ilaria",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/31875","D'Elia","Cecilia",19,2022-10-18,2022-10-24,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/31875","D'Elia","Cecilia",19,2022-10-25,,"Segretario","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/36391","Damante","Concetta",19,2022-10-18,2026-02-25,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36391","Damante","Concetta",19,2026-02-26,,"Vicepresidente Vicario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32747","Damiani","Dario",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/32898","De Carlo","Luca",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/22918","De Cristofaro","Peppe",19,2022-10-18,,"Presidente","http://dati.senato.it/gruppo/9",
"http://dati.senato.it/senatore/22814","De Poli","Antonio",19,2022-10-18,2023-03-28,"Presidente","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/22814","De Poli","Antonio",19,2023-03-29,,"Vicepresidente","http://dati.senato.it/gruppo/92",
"http://dati.senato.it/senatore/36393","De Priamo","Andrea",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/36394","De Rosa","Raffaele",19,2022-10-18,2024-02-08,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36394","De Rosa","Raffaele",19,2024-02-21,,"Membro","http://dati.senato.it/gruppo/56",
"http://dati.senato.it/senatore/36395","Della Porta","Costanzo",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
"http://dati.senato.it/senatore/28670","Delrio","Graziano",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/49",
"http://dati.senato.it/senatore/32619","Di Girolamo","Gabriella",19,2022-10-18,2026-02-25,"Segretario","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/32619","Di Girolamo","Gabriella",19,2026-02-26,,"Membro","http://dati.senato.it/gruppo/71",
"http://dati.senato.it/senatore/36396","Dreosto","Marco",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/33096","Durigon","Claudio",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/33",
"http://dati.senato.it/senatore/32624","Durnwalder","Meinhard",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/69",
"http://dati.senato.it/senatore/36398","Fallucchi","Anna Maria",19,2022-10-18,,"Membro","http://dati.senato.it/gruppo/85",
