"m","d","surname","firstName","start","end","tipoElezione","coverage","lista","procl"
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307394_20220930","http://dati.camera.it/ocd/deputato.rdf/d307394_19","AIELLO","DAVIDE","20220930",,"maggioritario","SICILIA 1 - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307394_20220930","http://dati.camera.it/ocd/deputato.rdf/d307394_19","AIELLO","DAVIDE","20220930",,"maggioritario","SICILIA 1 - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307749_20220930","http://dati.camera.it/ocd/deputato.rdf/d307749_19","BAGNAI","ALBERTO","20220930","20260915","maggioritario","ABRUZZO - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307749_20220930","http://dati.camera.it/ocd/deputato.rdf/d307749_19","BAGNAI","ALBERTO","20220930","20260915","maggioritario","ABRUZZO - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307134_20220930","http://dati.camera.it/ocd/deputato.rdf/d307134_19","BAGNASCO","ROBERTO","20220930",,"maggioritario","LIGURIA - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307752_20220930","http://dati.camera.it/ocd/deputato.rdf/d307752_19","BATTISTONI","FRANCESCO","20220930",,"maggioritario","MARCHE - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_307752_20220930","http://dati.camera.it/ocd/deputato.rdf/d307752_19","BATTISTONI","FRANCESCO","20220930",,"maggioritario","MARCHE - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_308830_20220930","http://dati.camera.it/ocd/deputato.rdf/d308830_19","BELLOMO","DAVIDE","20220930",,"maggioritario","PUGLIA - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_308830_20220930","http://dati.camera.it/ocd/deputato.rdf/d308830_19","BELLOMO","DAVIDE","20220930",,"maggioritario","PUGLIA - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_308762_20220930","http://dati.camera.it/ocd/deputato.rdf/d308762_19","BENVENUTI GOSTOLI","STEFANO MARIA","20220930",,"maggioritario","MARCHE - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_308762_20220930","http://dati.camera.it/ocd/deputato.rdf/d308762_19","BENVENUTI GOSTOLI","STEFANO MARIA","20220930",,"maggioritario","MARCHE - P01",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_302080_20220930","http://dati.camera.it/ocd/deputato.rdf/d302080_19","BONELLI","ANGELO","20220930",,"maggioritario","EMILIA-ROMAGNA - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_302080_20220930","http://dati.camera.it/ocd/deputato.rdf/d302080_19","BONELLI","ANGELO","20220930",,"maggioritario","EMILIA-ROMAGNA - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_302838_20220930","http://dati.camera.it/ocd/deputato.rdf/d302838_19","BRAMBILLA","MICHELA VITTORIA","20220930",,"maggioritario","SICILIA 1 - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_302838_20220930","http://dati.camera.it/ocd/deputato.rdf/d302838_19","BRAMBILLA","MICHELA VITTORIA","20220930",,"maggioritario","SICILIA 1 - P02",,
"http://dati.camera.it/ocd/mandatoCamera.rdf/mc19_308937_20220930","http://dati.camera.it/ocd/deputato.rdf/d308937_19","BUONGUERRIERI","ALICE","20220930",,"maggioritario","EMILIA-ROMAGNA - P03",,
