"s","lastName","firstName","m","leg","inizio","fine","tipoMandato","tipoElezione","regione","collegio","tipoFine"
"http://dati.senato.it/senatore/29185","Stefani","Erika","http://dati.senato.it/mandato/S_19_29185_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Veneto",,
"http://dati.senato.it/senatore/28550","Terzi Di Sant'Agata","Giuliomaria","http://dati.senato.it/mandato/S_19_28550_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lombardia","LOMBARDIA - U09 (TREVIGLIO)",
"http://dati.senato.it/senatore/32721","Testor","Elena","http://dati.senato.it/mandato/S_19_32721_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Trentino-Alto Adige","TRENTINO-ALTO ADIGE/SÜDTIROL - U03 (PERGINE VALSUGANA)",
"http://dati.senato.it/senatore/30915","Tosato","Paolo","http://dati.senato.it/mandato/S_19_30915_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Veneto","VENETO - U05 (VERONA)",
"http://dati.senato.it/senatore/36448","Trevisi","Antonio Salvatore","http://dati.senato.it/mandato/S_19_36448_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Puglia",,
"http://dati.senato.it/senatore/36449","Tubetti","Francesca","http://dati.senato.it/mandato/S_19_36449_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Friuli-Venezia Giulia",,
"http://dati.senato.it/senatore/32726","Turco","Mario","http://dati.senato.it/mandato/S_19_32726_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Basilicata",,
"http://dati.senato.it/senatore/32727","Unterberger","Julia","http://dati.senato.it/mandato/S_19_32727_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Trentino-Alto Adige","TRENTINO-ALTO ADIGE/SÜDTIROL - U05 (MERANO/MERAN)",
"http://dati.senato.it/senatore/2444","Urso","Adolfo","http://dati.senato.it/mandato/S_19_2444_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Veneto",,
"http://dati.senato.it/senatore/29604","Valente","Valeria","http://dati.senato.it/mandato/S_19_29604_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Puglia",,
"http://dati.senato.it/senatore/28924","Verducci","Francesco","http://dati.senato.it/mandato/S_19_28924_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Piemonte",,
"http://dati.senato.it/senatore/25377","Verini","Walter","http://dati.senato.it/mandato/S_19_25377_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Umbria",,
"http://dati.senato.it/senatore/33027","Versace","Giusy","http://dati.senato.it/mandato/S_19_33027_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/32732","Zaffini","Francesco","http://dati.senato.it/mandato/S_19_32732_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Umbria","UMBRIA - U01 (PERUGIA)",
"http://dati.senato.it/senatore/36429","Zambito","Ylenia","http://dati.senato.it/mandato/S_19_36429_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Toscana",,
"http://dati.senato.it/senatore/24016","Zampa","Sandra","http://dati.senato.it/mandato/S_19_24016_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Emilia-Romagna",,
"http://dati.senato.it/senatore/17811","Zanettin","Pierantonio","http://dati.senato.it/mandato/S_19_17811_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Veneto",,
"http://dati.senato.it/senatore/33038","Zangrillo","Paolo","http://dati.senato.it/mandato/S_19_33038_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Piemonte","PIEMONTE - U04 (ALESSANDRIA)",
"http://dati.senato.it/senatore/36430","Zedda","Antonella","http://dati.senato.it/mandato/S_19_36430_1",19,2022-10-13,,"elettivo","Eletto uninominale dalla XVIII legislatura","Sardegna","SARDEGNA - U01 (CAGLIARI)",
"http://dati.senato.it/senatore/36450","Zullo","Ignazio","http://dati.senato.it/mandato/S_19_36450_1",19,2022-10-13,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Puglia",,
"http://dati.senato.it/senatore/37415","Ternullo","Daniela","http://dati.senato.it/mandato/S_19_37415_1",19,2023-01-18,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Sicilia",,
"http://dati.senato.it/senatore/27622","Sensi","Filippo","http://dati.senato.it/mandato/S_19_27622_1",19,2023-03-21,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/35489","Pellegrino","Cinzia","http://dati.senato.it/mandato/S_19_35489_1",19,2023-05-09,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lazio",,
"http://dati.senato.it/senatore/37739","Tajani","Cristina","http://dati.senato.it/mandato/S_19_37739_1",19,2023-05-31,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Lombardia",,
"http://dati.senato.it/senatore/32637","Galliani","Adriano","http://dati.senato.it/mandato/S_19_32637_1",19,2023-10-30,,"elettivo","Eletto uninominale dalla XVIII legislatura","Lombardia","LOMBARDIA - U06",
"http://dati.senato.it/senatore/32640","Gaudiano","Felicia","http://dati.senato.it/mandato/S_19_32640_1",19,2025-01-08,,"elettivo","Eletto proporzionale dalla XVIII legislatura","Campania",,
