geo,country,year,cofog_old_age_cash_pct_gdp,cofog_old_age_cash_mio_eur,esspros_old_age_pct_gdp,esspros_old_age_mio_eur,esspros_all_types_pct_gdp,esspros_all_types_mio_eur,gdp_mio_eur,gdp_mio_nac,beneficiaries_old_age,beneficiaries_all_types,flags,source
IT,Italy,2021,13.7,252918.0,13.00,239668.00,16.19,298337.00,1842507.4,1842507.4,12392048,15682545,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
IT,Italy,2022,13.2,263942.0,12.48,249397.00,15.48,309254.00,1998072.6,1998072.6,12426492,15694751,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
IT,Italy,2023,13.2,283746.0,12.51,267979.00,15.49,331851.00,2142744.4,2142744.4,12491418,15760850,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
IT,Italy,2024,13.6,299424.0,12.85,283079.00,15.91,350367.00,2202031.2,2202031.2,12558223,15813171,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2019,9.1,48797.6,8.59,46252.76,10.83,58300.87,538423.5,2313929.0,7768516,10335248,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2020,9.6,51057.8,9.07,48213.12,11.27,59958.75,531827.4,2362909.0,8016093,10509939,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2021,9.4,54950.9,8.60,50135.26,10.72,62521.58,583001.4,2661518.0,8079669,10470023,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2022,8.8,58461.5,8.15,53916.32,10.09,66799.09,661712.3,3100850.0,8143281,10505618,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2023,9.9,74477.1,8.87,66656.68,10.81,81300.35,751931.7,3415274.0,8295886,10589386,"","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
PL,Poland,2024,10.4,88644.6,9.58,81618.90,11.61,98919.53,852229.8,3669531.0,8444428,10691479,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2019,7.2,34036.4,9.73,46175.59,10.77,51059.49,474202.9,5021382.0,2419023,2743014,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2020,7.5,35695.0,10.25,48989.97,11.24,53758.20,478106.9,5012855.0,2442354,2754870,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2021,7.1,37693.2,9.86,52616.86,10.74,57330.11,533953.6,5417760.0,2466380,2765487,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2022,7.0,38084.6,9.92,54271.18,10.74,58792.05,547190.4,5816415.0,2520552,2818737,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2023,7.0,37453.4,9.88,52904.75,10.73,57434.84,535176.8,6143187.0,2512578,2819166,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
SE,Sweden,2024,7.0,39031.9,9.92,55485.32,10.81,60416.71,563572.2,6443039.0,2532079,2835438,"ESSPROS old-age parts PART not reported","Eurostat gov_10a_exp S13 GF1002 D62 (PC_GDP, MIO_EUR); spr_exp_pens (means-tested and not, all schemes; old-age = OLD+AOLD+PART, all types = TOTAL); spr_pns_ben (persons, sex T); nama_10_gdp B1GQ current prices - fetched 2026-09-16"
