country,measure,sex,year,value,unit,source
Sweden,CRPLF22,F,2024,66,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,CRPLF22,M,2024,66,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,ELMEA,F,2024,65,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,ELMEA,M,2024,65.1,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,FRPLF22,F,2024,70,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,FRPLF22,M,2024,70,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,GPRR100,F,2024,63.7,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,GPRR100,M,2024,63.7,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,NPRR100,F,2024,66.3,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,NPRR100,M,2024,66.3,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
Sweden,PEP,_Z,2021,8,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,CRPLF22,F,2024,66.7,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,CRPLF22,M,2024,66.7,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,ELMEA,F,2024,66.7,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,ELMEA,M,2024,67.3,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,FRPLF22,F,2024,67,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,FRPLF22,M,2024,67,Y,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,GPRR100,F,2024,39.7,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,GPRR100,M,2024,39.7,PT_EARN_G_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,NPRR100,F,2024,51.3,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,NPRR100,M,2024,51.3,PT_EARN_N_PRE_RET_INC,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
United States,PEP,_Z,2021,7.3,PT_B1GQ,OECD Pensions at a Glance DSD_PAG@DF_PAG (SDMX, fetched 2026-09-12)
