url	file	fetched_utc	http_status
https://www.die-linke.de/partei/parteidemokratie/parteitag/erfurter-parteitag-2022/live/wahl-des-parteivorstandes/	linke_2022-06_erfurt-wahl-parteivorstand.html	2026-09-24T16:15:20Z	200
https://www.die-linke.de/partei/parteidemokratie/parteitag/hallescher-parteitag-2024/hallescher-parteitag/wahl-des-parteivorstands/	linke_2024-10_halle-wahl-parteivorstand.html	2026-09-24T16:15:21Z	200
https://www.die-linke.de/partei/parteidemokratie/parteivorstand/parteivorstand-2024-2026/	linke_parteivorstand-2024-2026.html	2026-09-24T16:15:22Z	200
https://www.fdp.de/pressemitteilung/fdp-bundesparteitag-wahlergebnisse-praesidium-2	fdp_2023-04-21_wahlergebnisse-praesidium.html	2026-09-24T16:15:22Z	200
https://www.fdp.de/pressemitteilung/fdp-bundesparteitag-wahlergebnisse-praesidium-3	fdp_2025-05_wahlergebnisse-praesidium.html	2026-09-24T16:15:23Z	200
https://www.cdu.de/artikel/merz-offiziell-neuer-cdu-vorsitzender	cdu_2022-01-31_merz-offiziell-vorsitzender.html	2026-09-24T16:15:47Z	302
https://www.cdu.de/personen/friedrich-merz/	cdu_personen_friedrich-merz.html	2026-09-24T16:15:47Z	200
https://www.csu.de/partei/vorstand/mitglieder-im-parteivorstand/dr-markus-soeder-mdl/	csu_vorstand_markus-soeder.html	2026-09-24T16:15:49Z	200
https://www.afd.de/partei/bundesvorstand/	afd_bundesvorstand.html	2026-09-24T16:15:50Z	200
https://www.afd.de/pressemitteilung-der-afd-bundesparteitag-waehlt-neuen-bundesvorstand/	afd_2026-07_bundesparteitag-neuer-bundesvorstand.html	2026-09-24T16:15:50Z	200
https://www.ssw.de/themen/dirschauer-gibt-ssw-landesvorsitz-ab	ssw_2025-03-03_dirschauer-gibt-landesvorsitz-ab.html	2026-09-24T16:15:51Z	200
https://www.ssw.de/die-partei/landesvorstand	ssw_landesvorstand.html	2026-09-24T16:15:52Z	200
https://bsw-vg.de/amira-mohamed-ali-und-fabio-de-masi-zu-bsw-parteivorsitzenden-gewaehlt/	bsw_2025-12_mohamed-ali-de-masi-gewaehlt.html	2026-09-24T16:15:53Z	200
https://bsw-vg.de/partei/parteivorstand/	bsw_parteivorstand.html	2026-09-24T16:15:53Z	200
https://www.home.cdu.de/artikel/merz-offiziell-neuer-cdu-vorsitzender	cdu_2022-01-31_merz-offiziell-vorsitzender.html	2026-09-24T16:16:57Z	000
https://www.gruene.de/artikel/bundesvorstand-legt-aemter-nieder	gruene_2024-09_bundesvorstand-legt-aemter-nieder.html	2026-09-24T16:17:26Z	200
https://www.gruene.de/artikel/im-gespraech-mit-ricarda-und-omid	gruene_2022_im-gespraech-mit-ricarda-und-omid.html	2026-09-24T16:17:27Z	200
https://www.afd.de/partei/bundesvorstand/	afd_bundesvorstand.html	2026-09-24T16:18:37Z	200	(refetched with --compressed; body served gzip)
https://www.afd.de/pressemitteilung-der-afd-bundesparteitag-waehlt-neuen-bundesvorstand/	afd_2026-07_bundesparteitag-neuer-bundesvorstand.html	2026-09-24T16:18:38Z	200	(refetched with --compressed; body served gzip)
https://www.cdu.de/index.php/artikel/friedrich-merz-ist-1000-tage-parteivorsitzender	cdu_2024-10_merz-1000-tage-parteivorsitzender.html	2026-09-24T16:19:24Z	302
https://www.cdu.de/app/uploads/2026/02/38-PT-Wahlergebnisse-2026.pdf	cdu_2026-02-20_38-parteitag-wahlergebnisse.pdf	2026-09-24T16:19:25Z	200
https://www.ssw.de/themen/ekstraordinaert-landsmoede-ausserordentlicher-parteitag-5-april-2025	ssw_2025-04-05_ausserordentlicher-parteitag.html	2026-09-24T16:21:01Z	200
https://bsw-vg.de/partei/bundesparteitag/	bsw_2024-01-27_1-bundesparteitag.html	2026-09-24T16:21:02Z	200
https://www.cdu.de/praesidium/	cdu_praesidium.html	2026-09-24T16:22:29Z	200
https://www.ssw.de/presse/bilder-service/sybilla-nitsch	ssw_bilder-service_sybilla-nitsch.html	2026-09-24T16:22:31Z	200
https://www.cdu.de/38-parteitag/	cdu_38-parteitag.html	2026-09-24T16:23:35Z	200
https://www.bundestag.de/resource/blob/196146/3dd33ed319f1a85407e031ac9068c9b5/Kapitel_05_01_Bildung_von_Fraktionen_und_Gruppen.pdf	bt_dhb_kap-05-01_fraktionen-und-gruppen.pdf	2026-09-24T16:23:36Z	200
https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/vglhauptwahl.html	bwl_2021_vglhauptwahl.html	2026-09-24T16:25:16Z	200
https://www.bundestag.de/abgeordnete/biografien/M/merz_friedrich-1046080	bt_biografie_merz_friedrich.html	2026-09-24T16:25:17Z	200
https://www.bundespraesident.de/SharedDocs/Berichte/DE/Frank-Walter-Steinmeier/2026/07/260729-Entlassungen-Ernennungen-BM.html	bp_2026-07-29_entlassungen-ernennungen-bm.html	2026-09-24T16:25:18Z	200
https://www.bundestag.de/parlament/fraktionen	bt_fraktionen_21wp.html	2026-09-24T16:25:18Z	200
https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/vglhauptwahl/bund-99.html	bwl_2021_vglhauptwahl_bund-99.html	2026-09-24T16:26:30Z	404
DISCARDED	bt_sitzverteilung_21wp.html	2026-09-24T16:26:30Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	bt_fraktionen_21wp.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	cdu_praesidium.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	cdu_38-parteitag.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	cdu_personen_friedrich-merz.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	ssw_bilder-service_sybilla-nitsch.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	bsw_parteivorstand.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	gruene_unser-bundesvorstand.html	2026-09-24T16:26:31Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	bwl_2021_vglhauptwahl.html	2026-09-24T16:26:32Z	fetched, read, not used (no quotable fact for this record); file deleted
DISCARDED	bwl_2021_vglhauptwahl_bund-99.html	2026-09-24T16:26:43Z	HTTP 404; file deleted
https://www.die-linke.de/partei/parteidemokratie/parteivorstand/parteivorstand-2022-2024/mitglieder-des-parteivorstandes/schirdewan-martin-parteivorsitzender/	linke_pv-2022-2024_schirdewan-martin.html	2026-09-24T16:27:35Z	200
https://www.die-linke.de/partei/parteidemokratie/parteivorstand/parteivorstand-2024-2026/mitglieder-des-parteivorstandes/ines-schwerdtner/	linke_pv-2024-2026_schwerdtner-ines.html	2026-09-24T16:27:36Z	200
